Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	5.162382	-2.912073	712.450809	-3.358721	-40.291478	-1.979922	5.655335	-0.471432
0.020	5.256592	-2.982674	715.177900	-3.617709	-40.393307	-1.976672	5.648008	-0.505847
0.030	5.328860	-3.051737	717.923376	-3.865219	-40.457284	-1.974146	5.635321	-0.538389
0.040	5.354652	-3.119505	720.664637	-4.091128	-40.451376	-1.972285	5.613065	-0.567688
0.050	5.306881	-3.187817	723.333142	-4.288195	-40.353712	-1.970052	5.578856	-0.592838
0.060	5.157360	-3.257715	725.832071	-4.453223	-40.155169	-1.965635	5.532295	-0.613534
0.070	4.881134	-3.326367	728.077893	-4.587570	-39.860231	-1.957075	5.474721	-0.630093
0.080	4.463730	-3.385485	730.045266	-4.696644	-39.486449	-1.943080	5.408767	-0.643336
0.090	3.909895	-3.422678	731.790930	-4.788367	-39.062378	-1.923725	5.337915	-0.654335
0.100	3.250218	-3.425756	733.441859	-4.871093	-38.623663	-1.900771	5.266084	-0.664142
0.110	2.541048	-3.388445	735.150322	-4.951718	-38.207353	-1.877433	5.197216	-0.673565
0.120	1.855033	-3.314960	737.033881	-5.034545	-37.845314	-1.857522	5.134813	-0.683082
0.130	1.264075	-3.220902	739.124290	-5.121069	-37.558355	-1.844222	5.081467	-0.692856
0.140	0.820615	-3.129518	741.344216	-5.210546	-37.352848	-1.839008	5.038530	-0.702851
0.150	0.544357	-3.064845	743.519474	-5.301145	-37.221163	-1.841173	5.006078	-0.712980
0.160	0.419122	-3.045021	745.422965	-5.391450	-37.146148	-1.848149	4.983231	-0.723274
0.170	0.400549	-3.078768	746.837230	-5.481947	-37.108508	-1.856345	4.968754	-0.734022
0.180	0.432043	-3.166106	747.616011	-5.575979	-37.094711	-1.862154	4.961733	-0.745835
0.190	0.464445	-3.302076	747.724045	-5.679601	-37.102624	-1.862808	4.962074	-0.759585
0.200	0.473748	-3.480714	747.240749	-5.800028	-37.142687	-1.856868	4.970645	-0.776193
0.210	0.470863	-3.696407	746.326188	-5.942973	-37.234034	-1.844239	4.988976	-0.796297
0.220	0.498826	-3.941462	745.162079	-6.109751	-37.396817	-1.825773	5.018615	-0.819922
0.230	0.616582	-4.201562	743.891161	-6.295250	-37.643592	-1.802736	5.060363	-0.846260
0.240	0.873962	-4.452835	742.579468	-6.487620	-37.973148	-1.776487	5.113681	-0.873660
0.250	1.287617	-4.663969	741.215833	-6.670028	-38.369329	-1.748526	5.176539	-0.899877
0.260	1.829249	-4.803906	739.745199	-6.824124	-38.805301	-1.720732	5.245766	-0.922497
0.270	2.433008	-4.851983	738.116657	-6.934268	-39.251378	-1.695414	5.317774	-0.939454
0.280	3.019690	-4.805686	736.322184	-6.991164	-39.683037	-1.674974	5.389358	-0.949471
0.290	3.526608	-4.682252	734.409388	-6.993656	-40.086015	-1.661295	5.458266	-0.952283
0.300	3.929368	-4.513120	732.465688	-6.948099	-40.456926	-1.655122	5.523389	-0.948590
0.310	4.246421	-4.333198	730.584575	-6.865612	-40.799790	-1.655702	5.584540	-0.939742
0.320	4.525945	-4.169124	728.831605	-6.758225	-41.120247	-1.660789	5.641941	-0.927268
0.330	4.822235	-4.031380	727.225741	-6.635257	-41.419825	-1.667060	5.695594	-0.912407
0.340	5.172179	-3.913805	725.742426	-6.501110	-41.692351	-1.670974	5.744786	-0.895787
0.350	5.580788	-3.800927	724.334215	-6.354925	-41.923620	-1.669909	5.787883	-0.877347
0.360	6.019815	-3.679940	722.958287	-6.191674	-42.094159	-1.663226	5.822488	-0.856436
0.370	6.437946	-3.551584	721.599971	-6.003706	-42.183978	-1.652774	5.845895	-0.831999
0.380	6.777411	-3.434021	720.285839	-5.781900	-42.177694	-1.642561	5.855688	-0.802723
0.390	6.990821	-3.356421	719.085172	-5.516192	-42.068460	-1.637590	5.850275	-0.767113
0.400	7.053228	-3.343637	718.100501	-5.195769	-41.859431	-1.642184	5.829188	-0.723543
0.410	6.966645	-3.398139	717.447225	-4.809492	-41.562263	-1.658371	5.793076	-0.670362
0.420	6.756672	-3.487460	717.223558	-4.346929	-41.193112	-1.684904	5.743413	-0.606077
0.430	6.462918	-3.543784	717.477839	-3.799996	-40.767515	-1.717361	5.682059	-0.529633
0.440	6.126131	-3.477441	718.186578	-3.164871	-40.296073	-1.749359	5.610808	-0.440675
0.450	5.775448	-3.200249	719.256287	-2.443739	-39.782652	-1.774454	5.531082	-0.339759
0.460	5.419379	-2.650764	720.553049	-1.646031	-39.225918	-1.787991	5.443863	-0.228440
0.470	5.043859	-1.813264	721.951656	-0.789007	-38.623729	-1.788184	5.349905	-0.109288
0.480	4.619390	-0.725601	723.387848	0.102425	-37.978746	-1.776153	5.250122	0.014159
0.490	4.116205	0.524848	724.894030	0.996932	-37.303027	-1.755039	5.145997	0.137528
0.500	3.522346	1.815222	726.600529	1.859418	-36.619523	-1.728632	5.039843	0.255906
0.510	2.856755	3.008235	728.693221	2.655164	-35.959271	-1.699999	4.934761	0.364373
0.520	2.170373	3.976469	731.335483	3.354706	-35.354520	-1.670583	4.834241	0.458710
0.530	1.532897	4.625097	734.581269	3.938026	-34.829780	-1.640074	4.741447	0.536091
0.540	1.009387	4.907974	738.315277	4.396673	-34.394083	-1.607170	4.658455	0.595501
0.550	0.636181	4.833252	742.248433	4.733193	-34.037816	-1.570988	4.585771	0.637683
0.560	0.407034	4.457436	745.974572	4.958312	-33.735859	-1.532461	4.522387	0.664676
0.570	0.276374	3.870139	749.067399	5.087155	-33.455961	-1.494948	4.466349	0.679132
0.580	0.178490	3.174326	751.179206	5.135892	-33.168851	-1.463624	4.415571	0.683711
0.590	0.053530	2.467658	752.104541	5.119710	-32.855896	-1.443883	4.368528	0.680718
0.600	-0.131812	1.829150	751.791732	5.052223	-32.511588	-1.439463	4.324547	0.672024
0.610	-0.377666	1.312875	750.310967	4.945740	-32.140778	-1.451048	4.283661	0.659159
0.620	-0.659561	0.947803	747.805446	4.811654	-31.752904	-1.475854	4.246145	0.643437
0.630	-0.945901	0.741239	744.454152	4.660504	-31.356423	-1.508253	4.212002	0.626030
0.640	-1.214568	0.683173	740.462441	4.501773	-30.956142	-1.541193	4.180650	0.607968
0.650	-1.460607	0.750108	736.077445	4.343681	-30.554469	-1.567994	4.150986	0.590112
0.660	-1.692459	0.908328	731.608798	4.193136	-30.155567	-1.584051	4.121816	0.573139
0.670	-1.920079	1.117077	727.429825	4.055873	-29.769896	-1.587985	4.092477	0.557562
